Time (s),Symmetry (%),Expression
4.73,64.37,Smile
13.86,66.24,Blink
20.53,66.13,Blink
42.25,73.03,Rest
8.27,91.81,Smile
11.72,88.59,Blink
16.4,89.74,Rest
12.62,81.21,Smile
15.81,77.98,Rest
23.49,77.94,Blink
24.44,84.52,Smile
31.25,91.05,Blink
33.12,92.89,Rest
11.77,44.21,Smile
15.17,41.22,Rest
19.88,44.42,Blink
17.64,74.51,Blink
19.86,72.45,Smile
23.06,67.74,Rest
25.59,83.99,Blink
48.56,24.0,Smile
52.93,16.07,Blink
56.07,22.34,Rest
14.45,56.94,Smile
5.63,50.61,Smile
7.76,52.72,Rest
10.01,53.61,Blink
67.45,94.38,Smile
68.48,93.32,Rest
69.23,93.48,Blink
5.75,96.73,Smile
7.25,94.17,Rest
9.11,93.95,Blink
5.56,77.72,Smile
8.0,82.05,Rest
11.56,92.15,Blink
